,episode,num_steps,score,reverse_score,success,critic_loss,actor_loss,alpha_loss,alpha,log_prob,env_buffer,demo_buffer,reverse_buffer,train_time,episode_time,total_time
70,70.0,500.0,0.0,0.0,0.0,0.11550834774971008,-21.32824642944336,-0.0003750329894028255,0.029816554741190802,4.026095390319824,35500.0,5000.0,0.0,7.553549766540527,17.317398071289062,3967.993522644043
71,71.0,500.0,0.0,0.0,0.0,0.1301034688949585,-21.509434867858886,0.0006892326220404357,0.02798430526007528,3.952690362930298,36000.0,5000.0,0.0,7.527919054031372,17.704618453979492,4001.911147594452
72,72.0,500.0,0.0,0.0,0.0,0.13478276133537292,-21.6555760345459,-0.0003547531123040244,0.02886731865072672,4.02540922164917,36500.0,5000.0,0.0,7.490350961685181,17.244309902191162,4035.1295688152313
73,73.0,500.0,0.0,0.0,0.0,0.14429646730422974,-21.817107803344726,2.4710504602808213e-05,0.02858594518809345,3.9986472129821777,37000.0,5000.0,0.0,7.4804253578186035,16.823166847229004,4068.7604484558105
74,74.0,500.0,0.0,0.0,0.0,0.14964261651039124,-22.027242584228517,-0.00026557329008937815,0.029522075772871734,4.018649101257324,37500.0,5000.0,0.0,7.530164957046509,17.315788745880127,4102.104856967926
75,75.0,500.0,0.0,0.0,0.0,0.17419423162937164,-22.253913414001463,1.4134565411950462e-05,0.02937023518438796,3.9994137287139893,38000.0,5000.0,0.0,7.5402960777282715,16.77703595161438,4135.4384388923645
76,76.0,500.0,0.0,0.0,0.0,0.18346352875232697,-22.51858448791504,-0.0005166495789908367,0.031007343577592907,4.034383773803711,38500.0,5000.0,0.0,7.4563610553741455,17.071057558059692,4168.345368146896
77,77.0,500.0,0.0,0.0,0.0,0.19682760536670685,-22.76162134552002,-0.00035769313893979415,0.03225847500343173,4.022920608520508,39000.0,5000.0,0.0,7.450173377990723,17.119428634643555,4201.389154672623
78,78.0,500.0,0.0,0.0,0.0,0.2441507875919342,-22.816635612487794,0.00188629638306611,0.027315021561040768,3.873750925064087,39500.0,5000.0,0.0,7.427971124649048,18.067500352859497,4235.382954359055
79,79.0,500.0,0.0,0.0,0.0,0.23787418007850647,-22.990849449157714,-0.0007884629833461076,0.029092427128490427,4.056739807128906,40000.0,5000.0,0.0,7.450453281402588,19.21980905532837,4272.057822704315
80,80.0,500.0,0.0,0.0,0.0,0.2475656121969223,-23.247494796752928,0.0003600384345918428,0.02819802781668946,3.97544527053833,40500.0,5000.0,0.0,7.5344860553741455,18.887980222702026,4766.247319459915
81,81.0,500.0,0.0,0.0,0.0,0.26079994440078735,-23.512593544006346,-0.00019255935084584052,0.028576378072805077,4.013995170593262,41000.0,5000.0,0.0,7.554584980010986,19.168240547180176,4802.277702093124
